"study_name","feature_id","species","n_control","n_crc","mean_control","mean_crc","median_control","median_crc","diff_mean","p_value","fdr","direction"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus","Coprococcus eutactus",52,52,-3.30165793331426,-3.6653018999255,-5,-5,-0.363643966611236,0.323619997223197,0.564406516263356,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans","Dorea formicigenerans",52,52,-0.984482096501573,-1.30063472065549,-0.630788142456983,-0.599792028039052,-0.316152624153913,0.73757469269914,0.87898156638031,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena","Dorea longicatena",52,52,-1.05542755912616,-0.853043143063906,-0.3178820528407,-0.188064844796003,0.202384416062258,0.343466216959937,0.585849021966474,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317","Dorea sp. CAG:317",52,52,-3.1869047478783,-3.03513487292578,-5,-3.56626625607047,0.151769874952528,0.707626264309804,0.867450956683617,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_D27","Dorea sp. D27",52,52,-5,-5,-5,-5,0,NA,NA,"no_difference"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis","Eisenbergiella massiliensis",52,52,-3.04017865132123,-2.50427512119331,-2.6856420973975,-1.85726804279924,0.535903530127923,0.114065958608447,0.564406516263356,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi","Eisenbergiella tayi",52,52,-3.42313069679508,-2.66401952861265,-3.56893431034348,-2.09522687603454,0.759111168182428,0.031379984232931,0.564406516263356,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_orotica","Faecalicatena orotica",52,52,-5,-4.94381372162532,-5,-5,0.0561862783746845,0.326706554868585,0.564406516263356,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans","Fusicatenibacter saccharivorans",52,52,-0.651185068173407,-0.84913390202665,0.0325462313440264,-0.123325775529707,-0.197948833853243,0.170739864824277,0.564406516263356,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_saburreum","Lachnoanaerobaculum saburreum",52,52,-5,-5,-5,-5,0,NA,NA,"no_difference"
