"species","n_studies_tested","n_sig","n_enriched_crc","n_depleted_crc","mean_diff"
"Parvimonas sp. KA00067",11,0,0,0,0.0998007287662148
"Megamonas funiformis",11,0,0,0,0.0982953814875593
"Bacteroides galacturonicus",11,0,0,0,0.0980106527927691
"Limosilactobacillus mucosae",11,0,0,0,0.0979152351473906
"Clostridium sp. CAG:510",11,0,0,0,0.0974981557371247
"Bifidobacterium longum",11,0,0,0,-0.0974123676628097
"Fusobacterium gonidiaformans",11,0,0,0,0.0966452673093065
"Paraprevotella clara",11,0,0,0,0.0959714431602665
"Megasphaera micronuciformis",11,0,0,0,0.0959648882341765
"Eubacterium callanderi",11,0,0,0,0.0937924058726292
"Actinomyces sp. HPA0247",11,0,0,0,0.0926589336325703
"Eubacteriaceae bacterium CHKCI005",11,0,0,0,0.0917373199620482
"Alistipes putredinis",11,0,0,0,0.0905580522731309
"Streptococcus australis",11,0,0,0,-0.0904506653780027
"Granulicatella adiacens",11,0,0,0,0.090239814599442
"Gemella asaccharolytica",11,0,0,0,0.0902328422523243
"Blautia hydrogenotrophica",11,0,0,0,0.0896199947088713
"Clostridium sp. CAG:632",11,0,0,0,0.089028878491293
"Filifactor alocis",11,0,0,0,0.0886622607072405
"Citrobacter freundii",11,0,0,0,0.0885590860767338
"Roseburia sp. CAG:309",11,0,0,0,-0.0877166224774514
"Proteus mirabilis",11,0,0,0,0.0870949156188006
"Bifidobacterium ruminantium",11,0,0,0,-0.0853438181588399
"Firmicutes bacterium CAG:424",11,0,0,0,0.0852580335557705
"Prevotella sp. AM42-24",11,0,0,0,0.085167786267486
"Schaalia odontolytica",11,0,0,0,0.0847644615653849
"Megasphaera sp. DISK 18",11,0,0,0,0.0846818508326956
"Ruminococcus bromii",11,0,0,0,0.084169661804294
"Klebsiella aerogenes",11,0,0,0,0.0837317882012902
"Butyrivibrio sp. CAG:318",11,0,0,0,0.0832766539093685
"Tyzzerella nexilis",11,0,0,0,0.0829440560251758
"Clostridium disporicum",11,0,0,0,0.0823672023078057
"Peptoniphilus harei",11,0,0,0,0.0808699192128168
"Citrobacter braakii",11,0,0,0,0.0806782639043022
"Prevotella buccae",11,0,0,0,0.0799080021583841
"Streptococcus gallolyticus",11,0,0,0,0.0784045879569921
"Prevotella oris",11,0,0,0,0.0774536616173001
"Anaerotruncus sp. CAG:528",11,0,0,0,-0.0770227144737515
"Dorea sp. CAG:317",11,0,0,0,-0.0766480570265764
"Lactococcus lactis",11,0,0,0,0.0753191822920911
"Streptococcus vestibularis",11,0,0,0,0.074911010604383
"Enterococcus durans",11,0,0,0,0.0747008640741487
"Prevotella sp. CAG:1185",11,0,0,0,0.074277796712323
"Streptococcus cristatus",11,0,0,0,0.0740033263710937
"Prevotella denticola",11,0,0,0,0.0737253785401453
"Limosilactobacillus vaginalis",11,0,0,0,0.0726258423076169
"[Eubacterium] nodatum",11,0,0,0,0.0723624579239786
"Citrobacter youngae",11,0,0,0,0.0713450268262914
"Anaeromassilibacillus sp. An250",11,0,0,0,0.0706748275492089
"Streptococcus agalactiae",11,0,0,0,0.0705037675722941
"Blastocystis sp. subtype 1",11,0,0,0,0.06817127177817
"[Clostridium] spiroforme",11,0,0,0,-0.0681055144369997
"Actinomyces sp. oral taxon 448",11,0,0,0,-0.0680472762662928
"Megamonas hypermegale",11,0,0,0,0.0672021000338699
"Clostridiales bacterium 1_7_47FAA",11,0,0,0,0.0670090555683208
"Dialister succinatiphilus",11,0,0,0,-0.0657996487828192
"Limosilactobacillus reuteri",11,0,0,0,0.0657800146888357
"Firmicutes bacterium CAG:791",11,0,0,0,0.0647968002860977
